Time(min),t,eta,Pressure,Temperature,H,r,tau
2,120,3193.4,80,130,0.001,0.01,6.68824132
4,240,3088.2,80,130,0.001,0.01,6.467910955
6,360,2995.7,80,130,0.001,0.01,6.274179408
8,480,2907.1,80,130,0.001,0.01,6.088616002
10,600,2822.6,80,130,0.001,0.01,5.911639616
12,720,2738.5,80,130,0.001,0.01,5.735500988
14,840,2671.4,80,130,0.001,0.01,5.594967077
16,960,2570.4,80,130,0.001,0.01,5.383433171
18,1080,2509.5,80,130,0.001,0.01,5.255884509
20,1200,2446.2,80,130,0.001,0.01,5.123309299
22,1320,2390,80,130,0.001,0.01,5.005604295
24,1440,2362.7,80,130,0.001,0.01,4.948427308
26,1560,2297.7,80,130,0.001,0.01,4.812291627
28,1680,2243.7,80,130,0.001,0.01,4.699194291
30,1800,2191.9,80,130,0.001,0.01,4.590704625
32,1920,2144,80,130,0.001,0.01,4.4903831
34,2040,2097.2,80,130,0.001,0.01,4.392365409
36,2160,2053.2,80,130,0.001,0.01,4.300212024
38,2280,2013.9,80,130,0.001,0.01,4.217902297
40,2400,1978.5,80,130,0.001,0.01,4.14376071
42,2520,1940.9,80,130,0.001,0.01,4.065011454
44,2640,1905.2,80,130,0.001,0.01,3.990241549
46,2760,1866.7,80,130,0.001,0.01,3.909607338
48,2880,1832.2,80,130,0.001,0.01,3.837350707
50,3000,1806.3,80,130,0.001,0.01,3.783105873
52,3120,1781.2,80,130,0.001,0.01,3.730536556
54,3240,1725.8,80,130,0.001,0.01,3.614507068
56,3360,1705.7,80,130,0.001,0.01,3.572409726
58,3480,1657.8,80,130,0.001,0.01,3.472088201
60,3600,1640.8,80,130,0.001,0.01,3.436483484
62,3720,1613.6,80,130,0.001,0.01,3.379515937
64,3840,1573.5,80,130,0.001,0.01,3.295530694
66,3960,1524.9,80,130,0.001,0.01,3.193743092
68,4080,1514.9,80,130,0.001,0.01,3.172799141
70,4200,1503.5,80,130,0.001,0.01,3.148923036
72,4320,1468.8,80,130,0.001,0.01,3.076247526
74,4440,1452.8,80,130,0.001,0.01,3.042737205
76,4560,1434.2,80,130,0.001,0.01,3.003781456
78,4680,1405.1,80,130,0.001,0.01,2.942834558
80,4800,1373.4,80,130,0.001,0.01,2.876442234
82,4920,1355.6,80,130,0.001,0.01,2.839162001
84,5040,1337.8,80,130,0.001,0.01,2.801881768
86,5160,1331.4,80,130,0.001,0.01,2.788477639
88,5280,1318.9,80,130,0.001,0.01,2.762297701
90,5400,1286.3,80,130,0.001,0.01,2.69402042
92,5520,1246.1,80,130,0.001,0.01,2.609825737
94,5640,1240,80,130,0.001,0.01,2.597049927
96,5760,1204.6,80,130,0.001,0.01,2.52290834
98,5880,1181.1,80,130,0.001,0.01,2.473690055
100,6000,1176.1,80,130,0.001,0.01,2.46321808
102,6120,1143.7,80,130,0.001,0.01,2.395359679
104,6240,1123.4,80,130,0.001,0.01,2.352843458
106,6360,1105.5,80,130,0.001,0.01,2.315353786
108,6480,1089.7,80,130,0.001,0.01,2.282262343
110,6600,1075.9,80,130,0.001,0.01,2.253359691
112,6720,1060,80,130,0.001,0.01,2.220058809
114,6840,1049.2,80,130,0.001,0.01,2.197439341
116,6960,1034,80,130,0.001,0.01,2.165604536
118,7080,1019.9,80,130,0.001,0.01,2.136073565
120,7200,1011.7,80,130,0.001,0.01,2.118899525
122,7320,1001.9,80,130,0.001,0.01,2.098374453
124,7440,989.69,80,130,0.001,0.01,2.072801889
126,7560,982.33,80,130,0.001,0.01,2.057387141
128,7680,976.24,80,130,0.001,0.01,2.044632275
130,7800,965.25,80,130,0.001,0.01,2.021614873
132,7920,957.3,80,130,0.001,0.01,2.004964432
134,8040,946.91,80,130,0.001,0.01,1.983203666
136,8160,954.07,80,130,0.001,0.01,1.998199535
138,8280,927.2,80,130,0.001,0.01,1.941923139
140,8400,922.98,80,130,0.001,0.01,1.933084792
142,8520,902.61,80,130,0.001,0.01,1.890421963
144,8640,896.82,80,130,0.001,0.01,1.878295416
146,8760,894.89,80,130,0.001,0.01,1.874253233
148,8880,882.12,80,130,0.001,0.01,1.847507808
150,9000,868.95,80,130,0.001,0.01,1.819924624
152,9120,861.62,80,130,0.001,0.01,1.804572708
154,9240,850.45,80,130,0.001,0.01,1.781178315
156,9360,847.35,80,130,0.001,0.01,1.77468569
158,9480,839.69,80,130,0.001,0.01,1.758642624
160,9600,834.95,80,130,0.001,0.01,1.748715191
162,9720,829.37,80,130,0.001,0.01,1.737028466
164,9840,824.01,80,130,0.001,0.01,1.725802508
166,9960,818.07,80,130,0.001,0.01,1.713361801
168,10080,814.05,80,130,0.001,0.01,1.704942333
170,10200,799.04,80,130,0.001,0.01,1.673505463
172,10320,801.26,80,130,0.001,0.01,1.67815502
174,10440,789.27,80,130,0.001,0.01,1.653043222
176,10560,792.91,80,130,0.001,0.01,1.660666821
178,10680,780.99,80,130,0.001,0.01,1.635701631
180,10800,775.37,80,130,0.001,0.01,1.623931131
